7zip 26.02-1
ntsync-autoload 1-1
nvidia-580xx-dkms 580.178.04-1.1
nvidia-580xx-utils 580.178.04-1.1
ocl-icd 2.3.5-1
oh-my-posh 30.9.0-1
oh-my-posh-debug 30.9.0-1
omarchy 4.0.2-1
omarchy-keyring 20251027-1
omarchy-nvim 2026.8.13-1
omarchy-settings 4.0.2-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
onlyoffice 9.4.0-2
onlyoffice-debug 9.4.0-2
openai-codex-desktop 26.825.51511-1
openal 1.25.2-2
opencore-amr 0.1.6-2
openexr 3.4.15-1
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.31.0-1
openssh 10.5p1-1
openssl 3.6.3-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20260812-1
p11-kit 0.26.5-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pango 1:1.58.2-1
parted 3.7-1
patch 2.8-1
patchelf 0.19.1-1
pciutils 3.15.0-1
pcre 8.45-5
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-2
perl-alien-build 2.84-5
perl-alien-libxml2 0.20-5
perl-appconfig 1.71-15
perl-b-hooks-endofscope 0.28-4
perl-capture-tiny 0.50-4
perl-class-data-inheritable 0.10-1
perl-class-inspector 1.36-10
perl-class-load 0.25-4
perl-class-method-modifiers 2.15-6
perl-class-singleton 1.6-3
perl-clone 0.50-1
perl-clone-choose 0.010-4
perl-data-dump 1.25-8
perl-data-optlist 0.114-7
perl-data-uuid 1.227-3
perl-datetime 1.66-2
perl-datetime-locale 1.45-1
perl-datetime-timezone 2.69-1
perl-devel-globaldestruction 0.14-13
perl-devel-stacktrace 2.05-4
perl-digest-sha1 2.13-22
perl-dist-checkconflicts 0.11-13
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-eval-closure 0.14-13
perl-exception-class 1.45-7
perl-exporter-tiny 1.006003-1
perl-ffi-checklib 0.31-8
perl-file-chdir 0.1011-6
perl-file-copy-recursive 0.45-10
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-file-sharedir-install 0.14-6
perl-file-slurp 9999.32-5
perl-file-which 1.27-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.12-1
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.04-1
perl-http-negotiate 6.01-16
perl-import-into 1.002005-14
perl-io-all 0.87-10
perl-io-html 1.004-8
perl-io-socket-ssl 2.099-1
perl-io-string 1.08-13
perl-json 4.11-1
perl-libwww 6.83-1
perl-list-allutils 0.19-6
perl-list-moreutils 0.430-8
perl-list-moreutils-xs 0.430-7
perl-list-someutils 0.59-6
perl-list-utilsby 0.12-6
perl-lwp-mediatypes 6.04-8
perl-lwp-protocol-https 6.17-1
perl-mailtools 2.22-3
perl-math-round 0.08-1
perl-mime-base32 1.303-13
perl-module-implementation 0.09-13
perl-module-runtime 0.018-1
perl-moo 2.005005-6
perl-mro-compat 0.15-6
perl-namespace-autoclean 0.31-3
perl-namespace-clean 0.27-13
perl-net-http 6.24-2
perl-net-ssleay 1.96-1
perl-package-stash 0.40-7
perl-package-stash-xs 0.30-5
perl-parallel-forkmanager 2.04-2
perl-params-util 1.102-7
perl-params-validate 1.31-5
perl-params-validationcompiler 0.31-6
perl-path-tiny 0.150-2
perl-role-tiny 2.002005-1
perl-sort-versions 1.62-13
perl-specio 0.53-1
perl-string-shellquote 1.04-8
perl-sub-exporter 0.991-4
